"item_id","name","discount_price","percentage_discount","regular_price","date_added","url"
"693823","Kabanosy Tarczyński (piri-piri/jalapeno) @ Mercus Gdańsk Wrzeszcz","3.99","-33.0","5.99","03-07-2023","https://www.pepper.pl/promocje/kabanosy-tarczynski-piri-pirijalapeno-at-mercus-gdansk-wrzeszcz-693823"
"693820","Buty do nordic walking damskie Newfeel 500 rozm.37-41","99.99","-50.0","199.99","03-07-2023","https://www.pepper.pl/promocje/buty-do-nordic-walking-damskie-newfeel-500-693820"
"693819","Powerbank Hama Power Pack Supreme 24HD, 24000mAh, o/os. 0zł","89.99","-47.0","169.0","03-07-2023","https://www.pepper.pl/promocje/powerbank-hama-power-pack-supreme-24hd-24000mah-oos-0zl-693819"
"693818","Zasilacz Seasonic FOCUS GX-650 80Plus Gold 650W","399.0","-11.0","448.0","03-07-2023","https://www.pepper.pl/promocje/zasilacz-seasonic-focus-gx-650-80plus-gold-650w-693818"
"693817","Timberland ADV 2.0 CUPSOLE MODERN NAVY- Sneakersy niskie","195.5","-22.0","252.0","03-07-2023","https://www.pepper.pl/promocje/timberland-adv-20-cupsole-modern-navy-sneakersy-niskie-693817"
"693815","Hogwarts Legacy TR @XBOX SERIES X/S","157.98","NA","NA","03-07-2023","https://www.pepper.pl/promocje/hogwarts-legacy-tr-at-xbox-series-xs-693815"
"693814","Bułka Kajzerka po 29 groszy @Kaufland","0.29","NA","NA","03-07-2023","https://www.pepper.pl/promocje/bulka-kajzerka-po-29-groszy-at-kaufland-693814"
"693813","Ceneo - darmowa wysyłka. MWZ 40 zł","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/ceneo-darmowa-wysylka-mwz-40-zl-693813"
"693812","Płyny samochodowe 2+1 GRATIS, olej, chłodniczy, spryskiwaczy, Sobota @Kaufland","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/plyny-samochodowe-21-gratis-olej-chlodniczy-spryskiwaczy-sobota-at-kaufland-693812"
"693811","Buty MTB SPD Scott Comp Boa","392.8","-14.0","455.0","03-07-2023","https://www.pepper.pl/promocje/buty-mtb-spd-scott-comp-boa-693811"
"693807","Laptop Apple MacBook Pro 2021 14,2"" M1 Pro - 16GB RAM - 1TB Dysk - macOS - srebrny","9999.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/apple-macbook-pro-2021-142-m1-pro-16gb-ram-1tb-dysk-693807"
"693810","Smartfon Samsung Galaxy S21 Ultra 5G 12/128 GB Amazon.de WHD smartphone używany - W bardzo dobrym stanie €596,83","2650.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/samsung-galaxy-s21-ultra-5g-12128-gb-amazonde-whd-smartphone-uzywany-w-bardzo-dobrym-stanie-693810"
"693809","Tablet Lenovo P11 2nd Gen (11,5"" 2K 120Hz, 6GB Ram, 128GB dysk + rysik) -> po cashbacku 1299 + ADP One na rok gratis","1599.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/tablet-lenovo-p11-2nd-gen-115-2k-120hz-6gb-ram-128gb-dysk-rysik-po-cashbacku-1299-adp-one-na-rok-gratis-693809"
"693806","Smartfon Motorola Edge 30 Fusion 8/128 GB, Dual- biały- amazon.de stan bdb","1482.0","-21.0","1881.0","03-07-2023","https://www.pepper.pl/promocje/smartfon-motorola-edge-30-fusion-8128-gb-dual-bialy-amazonde-stan-bdb-693806"
"693804","Gra PC - BACK 4 BLOOD (kod steam)","33.83","NA","NA","03-07-2023","https://www.pepper.pl/promocje/gra-pc-back-4-blood-kod-steam-693804"
"693802","Retrokonsola Powkiddy RGB10 Max 2 (ekran 5 cali, dwa analogi) @ Banggood","366.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/retrokonsola-powkiddy-rgb10-max-2-ekran-5-cali-dwa-analogi-at-banggood-693802"
"693801","Perfumy Mountblanc Explorer 100 ml. 216,46 zł","216.46","-25.0","289.0","03-07-2023","https://www.pepper.pl/promocje/mountblanc-explorer-100-ml-21646-zl-693801"
"693798","Rower Gravel Cannondale Topstone 4 Black","4542.0","-18.0","5519.0","03-07-2023","https://www.pepper.pl/promocje/rower-gravel-cannondale-topstone-4-black-693798"
"693800","6x50 ml Antyperspirant w kulce dla kobiet Rexona Invisible Allegro Days","45.0","-36.0","70.0","03-07-2023","https://www.pepper.pl/promocje/6x50-ml-antyperspirant-w-kulce-dla-kobiet-rexona-invisible-allegro-days-693800"
"693799","Buty MTB SPD Scott Elite Boa","341.0","-24.0","450.0","03-07-2023","https://www.pepper.pl/promocje/buty-mtb-spd-scott-elite-boa-693799"
"693796","Gra GTA V Premium Edition AR VPN (XBOX ONE)","28.32","NA","NA","03-07-2023","https://www.pepper.pl/promocje/xbox-one-gta-v-premium-edition-ar-vpn-693796"
