item_id,name,discount_price,percentage_discount,regular_price,date_added,url
696977,"Apple iPad Pro 11"" 2021 (M1) 2TB Cellular (5G) Silver/Space Gray (okazja Prime Day)",5209.78,-45.0,9466.71,11-07-2023,https://www.pepper.pl/promocje/apple-ipad-pro-11-2021-m1-2tb-cellular-5g-silverspace-gray-okazja-prime-day-696977
696974,Dyktafon OM SYSTEM (OLYPMUS) LS-P5 - PRIME,699.0,-22.0,899.0,11-07-2023,https://www.pepper.pl/promocje/dyktafon-om-system-olypmus-ls-p5-prime-696974
696975,"Łyżeczki do herbaty Otto Konning ze stali nierdzewnej, z polerowanym na lustro wykończeniem - 6 sztuk (Prime Day)",11.99,NA,NA,11-07-2023,https://www.pepper.pl/promocje/lyzeczki-do-herbaty-otto-konning-ze-stali-nierdzewnej-z-polerowanym-na-lustro-wykonczeniem-6-sztuk-prime-day-696975
696972,Obiektyw Sony 85mm 1.8 (SEL-85F18),1614.0,-27.0,2200.0,11-07-2023,https://www.pepper.pl/promocje/obiektyw-sony-85mm-18-sel-85f18-696972
696973,Mysz Logitech G502 Lightspeed,419.0,-11.0,469.0,11-07-2023,https://www.pepper.pl/promocje/logitech-g502-lightspeed-696973
696971,"Fotel bujany, 5-stopniowo regulowany podnóżek, obciążenie do 150 kg, SONGMICS LYY10G - TYLKO PRIME",336.74,-25.0,448.99,11-07-2023,https://www.pepper.pl/promocje/fotel-bujany-5-stopniowo-regulowany-podnozek-obciazenie-do-150-kg-songmics-lyy10g-696971
696970,"Wyprzedaż alkoholi -50% np Absolut Elyx, Rum Barcelo Anejo i inne - Carrefour Nowy Sącz",NA,NA,NA,11-07-2023,https://www.pepper.pl/promocje/wyprzedaz-alkoholi-50-np-absolut-elyx-rum-barcelo-anejo-i-inne-carrefour-nowy-sacz-696970
696969,"Greenpan Valencia Pro Patelnia Grillowa - GRIDDLE , Ceramika, Szary, 28cm - Amazon.pl",86.99,-74.0,340.0,11-07-2023,https://www.pepper.pl/promocje/greenpan-valencia-pro-patelnia-grillowa-griddle-ceramika-szary-28cm-amazonpl-696969
696968,Słuchawki Hifiman He400Se - PRIME,538.23,-9.0,590.0,11-07-2023,https://www.pepper.pl/promocje/hifiman-he400se-prime-696968
696967,Smartfon Samsung Galaxy S20FE - Żory,1666.0,-17.0,1999.0,2023-07-11,https://www.pepper.pl/promocje/smartfon-samsung-galaxy-s20fe-zory-696967
696985,Amazon Echo Dot 5 gen. z zegarkiem za 143 zł (31.99€),143.0,-48.0,273.33,11-07-2023,https://www.pepper.pl/promocje/amazon-echo-dot-5-gen-z-zegarkiem-za-143-zl-3199eur-696985
696983,Odkurzacz bezworkowy Philips FC9332/09 - PRIME,407.99,-17.0,489.0,11-07-2023,https://www.pepper.pl/promocje/odkurzacz-bezworkowy-philips-fc933209-prime-696983
696982,"Kawa Rozpuszczalna Jacobs Cronat Gold 200g - 22,99 zł",22.99,NA,NA,11-07-2023,https://www.pepper.pl/promocje/kawa-rozpuszczalna-jacobs-cronat-gold-200g-2299-zl-696982
696984,"Podwójna kamera IP do monitoringu ZRHUNTER 2MP/4MP, WiFi, aplikacja, IP66| Wysyłka z CN | $23.12 @ Aliexpress",93.5,-30.0,133.39,11-07-2023,https://www.pepper.pl/promocje/podwojna-kamera-ip-do-monitoringu-zrhunter-2mp4mp-wifi-aplikacja-ip66-wysylka-z-cn-2312-at-aliexpress-696984
696981,Zestaw elektrycznych wkrętaków precyzyjnych Xiaomi Mijia MJDDLSDOO3QW (wersja 2022) @ AliExpress,125.53,-37.0,199.0,11-07-2023,https://www.pepper.pl/promocje/zestaw-elektrycznych-wkretakow-precyzyjnych-xiaomi-mijia-mjddlsdoo3qw-wersja-2022-at-aliexpress-696981
696980,Odkurzacz bezprzewodowy pionowy Philips XC8045/01 - PRIME,1439.99,-15.0,1699.0,11-07-2023,https://www.pepper.pl/promocje/odkurzacz-bezprzewodowy-pionowy-philips-xc804501-prime-696980
696979,Uchwyt na rower za 4 dyszki,42.74,NA,NA,11-07-2023,https://www.pepper.pl/promocje/uchwyt-na-rower-za-4-dyszki-696979
696976,"Air fryer Philips Airfryer L Series 3000, 4.1 l",498.99,NA,NA,11-07-2023,https://www.pepper.pl/promocje/air-fryer-philips-airfryer-l-series-3000-41-l-696976
